FID,precinct,shape_area,shape_leng,total_dens,TV_dens,Film_dens,Theater_de,Index,PolicePrecinct,TV,Film,Theater,ID
18,79.000000000000000,44975546.931599996984005,28256.602112500000658,0.000012184398799,0.000004913781267,0.000002556945003,0.000000000000000,79,548,221,115,0,51
19,26.000000000000000,23836014.449400000274181,23938.497090799999569,0.000024836366887,0.000013215296570,0.000007887224620,0.000000125859967,26,592,315,188,3,17
20,28.000000000000000,15289544.596000000834465,17098.987087800000154,0.000027469752115,0.000013669471886,0.000007586883917,0.000001438891777,28,420,209,116,22,18
21,30.000000000000000,18837442.233899999409914,21627.000872600001458,0.000026595967424,0.000015501042890,0.000007325835338,0.000000000000000,30,501,292,138,0,19
22,32.000000000000000,23009990.363899998366833,25291.411359199999424,0.000008431120436,0.000004563235288,0.000002216428568,0.000000086918767,32,194,105,51,2,20
23,73.000000000000000,51771864.985100001096725,33034.660939599998528,0.000000965775523,0.000000579465314,0.000000289732657,0.000000000000000,73,50,30,15,0,46
24,33.000000000000000,25863124.498799998313189,21744.602252299999236,0.000017824605841,0.000009936927768,0.000005490442580,0.000000850631949,33,461,257,142,22,21
25,34.000000000000000,52113460.915600001811981,45567.020300800002587,0.000003358057533,0.000001746189917,0.000001017011710,0.000000000000000,34,175,91,53,0,22
26,75.000000000000000,183100917.807000011205673,114009.988899000003585,0.000000950295619,0.000000628068943,0.000000262150516,0.000000000000000,75,174,115,48,0,47
27,40.000000000000000,60402018.155500002205372,33430.913459900002636,0.000005032944416,0.000003592595192,0.000000910565602,0.000000000000000,40,304,217,55,0,23
28,41.000000000000000,62139100.539800003170967,47901.422611000001780,0.000002285195614,0.000000418416098,0.000000965575611,0.000000000000000,41,142,26,60,0,24
29,42.000000000000000,44818131.900399997830391,33516.163261200003035,0.000001628805060,0.000001115619904,0.000000312373573,0.000000000000000,42,73,50,14,0,25
30,43.000000000000000,113325976.672000005841255,62189.005232399998931,0.000000176482044,0.000000079416920,0.000000008824102,0.000000008824102,43,20,9,1,1,26
31,48.000000000000000,43057143.451300002634525,34316.344839600002160,0.000002368944891,0.000001463171844,0.000000580623748,0.000000000000000,48,102,63,25,0,31
32,44.000000000000000,55530554.209200002253056,31394.624816200001078,0.000004844179998,0.000002755239925,0.000001440648327,0.000000090040520,44,269,153,80,5,27
33,45.000000000000000,271300430.819000005722046,307973.150400999991689,0.000000265388447,0.000000210099187,0.000000029487605,0.000000000000000,45,72,57,8,0,28
34,46.000000000000000,38323373.381499998271465,29627.986096299999190,0.000001852655279,0.000000704530881,0.000000756718353,0.000000078281209,46,71,27,29,3,29
35,47.000000000000000,160530903.164999991655350,86531.091003599998658,0.000000305237179,0.000000174421245,0.000000068522632,0.000000000000000,47,49,28,11,0,30
36,49.000000000000000,105809974.131999999284744,45768.175921599999128,0.000000349683480,0.000000075607239,0.000000207919907,0.000000000000000,49,37,8,22,0,32
37,50.000000000000000,136112621.463999986648560,52230.505187900002056,0.000000962438300,0.000000573054866,0.000000227752575,0.000000000000000,50,131,78,31,0,33
38,67.000000000000000,93744758.440300002694130,43288.943138399998134,0.000000458692312,0.000000128007157,0.000000224012525,0.000000000000000,67,43,12,21,0,40
39,52.000000000000000,80116628.667600005865097,65671.234475000004750,0.000001110880494,0.000000449344919,0.000000337008689,0.000000012481803,52,89,36,27,1,34
40,60.000000000000000,88215710.846799999475479,66232.571704100002535,0.000001927094373,0.000000657479257,0.000000476105669,0.000000000000000,60,170,58,42,0,35
41,61.000000000000000,134635110.069999992847443,128324.222863999995752,0.000000713038374,0.000000178259594,0.000000430794018,0.000000000000000,61,96,24,58,0,36
42,62.000000000000000,103208535.325000002980232,51716.701033899997128,0.000000591036389,0.000000164715059,0.000000348808361,0.000000000000000,62,61,17,36,0,37
43,63.000000000000000,229414078.791999995708466,205089.377497999987099,0.000000283330475,0.000000069742886,0.000000174357216,0.000000000000000,63,65,16,40,0,38
44,66.000000000000000,99520789.105100005865097,52362.500777499997639,0.000001386644954,0.000000864141058,0.000000361733466,0.000000000000000,66,138,86,36,0,39
45,68.000000000000000,110943389.276999995112419,44532.418833499999892,0.000001586394657,0.000000576870784,0.000000612925208,0.000000000000000,68,176,64,68,0,41
